2022-02-18 11:04:26,829 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-18 11:04:38,436 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/documents/d97d1e91-67fb-4b9c-9886-7dc6e0fdfe7d/previews | ARGS: {}
2022-02-18 11:05:19,689 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/ | 
2022-02-18 11:05:21,290 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/ | 
2022-02-18 12:09:02,176 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-18 12:09:41,645 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/ | 
2022-02-18 12:10:09,298 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/documents/91c9270f-49cf-45f9-8041-2826a5ba8c9d | ARGS: {}
2022-02-18 12:56:42,130 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:56:42,380 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:56:42,807 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:56:42,996 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:56:43,220 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: POST | URL: /api/documents/ | 
2022-02-18 12:56:51,845 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-18 12:56:51,860 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-18 12:56:51,878 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: GET | URL: /api/documents/3c5e8e32-da3f-4c9f-918d-2f9556e19813 | ARGS: {'body': ['0']}
2022-02-18 12:56:51,889 - USER_ID: d66210eb-f357-40fd-b3d6-55dda6921e40 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 0, 'user_id': 'a7bee995-a89d-4253-b428-3486fb17d818'}
2022-02-18 12:56:51,898 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: POST | URL: /api/documents/3c5e8e32-da3f-4c9f-918d-2f9556e19813/convert | ARGS: {}
2022-02-18 12:57:21,179 - USER_ID: a7bee995-a89d-4253-b428-3486fb17d818 | METHOD: GET | URL: /api/documents/3c5e8e32-da3f-4c9f-918d-2f9556e19813/previews | ARGS: {}
2022-02-18 12:57:21,486 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:57:21,652 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:57:21,838 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: POST | URL: /api/documents/ | 
2022-02-18 12:57:39,130 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-18 12:57:39,144 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-18 12:57:39,170 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/546f4590-cd7f-471e-a917-dc4832516588 | ARGS: {'body': ['0']}
2022-02-18 12:57:39,185 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: POST | URL: /api/documents/546f4590-cd7f-471e-a917-dc4832516588/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-18 12:57:48,159 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': '546f4590-cd7f-471e-a917-dc4832516588'}, {'id': '9bb1424e-534c-4f82-8713-ef1e7159c860'}]}
2022-02-18 12:58:12,434 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/546f4590-cd7f-471e-a917-dc4832516588/download | ARGS: {'body': ['0']}
2022-02-18 12:58:12,497 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/546f4590-cd7f-471e-a917-dc4832516588/download | ARGS: {'body': ['0']}
2022-02-18 12:58:12,600 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/3369104e-7a4e-4634-b5fb-8505dc45ad85/download | ARGS: {'body': ['0']}
2022-02-18 12:58:12,641 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-18 12:58:12,650 - USER_ID: 25e52812-112f-4955-a034-3e787fc26777 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': 'bef3a725-0bf6-48bb-963e-556c4197c3a7'}
2022-02-18 12:58:12,661 - USER_ID: bef3a725-0bf6-48bb-963e-556c4197c3a7 | METHOD: GET | URL: /api/documents/3369104e-7a4e-4634-b5fb-8505dc45ad85/download | ARGS: {'body': ['0']}
2022-02-18 12:58:12,910 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:58:13,076 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:58:13,292 - USER_ID: 0c874f43-88bb-4805-963c-cc8894ea14a0 | METHOD: POST | URL: /api/documents/ | 
2022-02-18 12:58:31,007 - USER_ID: 0c874f43-88bb-4805-963c-cc8894ea14a0 | METHOD: POST | URL: /api/documents/a6e0e6ac-9fe3-4112-b2b3-801dee2242a1/split | ARGS: {'pages': [1, 2, 5]}
2022-02-18 12:58:37,458 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:58:37,672 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:58:37,997 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:58:38,161 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:58:38,328 - USER_ID: anonymous | METHOD: POST | URL: /api/users/register | ARGS: {'login': 'ivan', 'email': 'ivanperovsky@gmail.com', 'password': '1234'}
2022-02-18 12:58:38,489 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-18 12:58:38,733 - USER_ID: 02b873e1-1728-4efd-9a0d-c7a5595a3dca | METHOD: POST | URL: /api/users/register | ARGS: {'email': 'test@gmail.com', 'password': '12345'}
2022-02-18 12:58:38,894 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test@gmail.com', 'password': '1234'}
2022-02-18 12:58:39,051 - USER_ID: 7ec275f8-5194-4692-ac06-5da8df22738d | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test2@gmail.com', 'password': '1234'}
2022-02-18 12:58:39,055 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'ivan', 'password': '1234'}
2022-02-18 12:58:39,363 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 12:58:39,524 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 12:58:39,764 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-18 12:58:39,929 - USER_ID: ac6ebf8d-7dfb-4527-8fb8-16a3473c5e36 | METHOD: POST | URL: /api/users/login_phone | ARGS: {'phone': '79312972206'}
2022-02-18 13:02:32,525 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:02:32,709 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:02:33,082 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:02:33,313 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:02:33,486 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: POST | URL: /api/documents/ | 
2022-02-18 13:02:35,101 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-18 13:02:35,113 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-18 13:02:35,123 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: GET | URL: /api/documents/dcf7c8b2-5271-4a2a-8a0f-b2d459eb27c5 | ARGS: {'body': ['0']}
2022-02-18 13:02:35,134 - USER_ID: de0124de-c6c8-4d03-89c7-96ff68ade9d1 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 0, 'user_id': '84f95db7-871c-45cd-911c-e3f5507a1888'}
2022-02-18 13:02:35,144 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: POST | URL: /api/documents/dcf7c8b2-5271-4a2a-8a0f-b2d459eb27c5/convert | ARGS: {}
2022-02-18 13:02:59,029 - USER_ID: 84f95db7-871c-45cd-911c-e3f5507a1888 | METHOD: GET | URL: /api/documents/dcf7c8b2-5271-4a2a-8a0f-b2d459eb27c5/previews | ARGS: {}
2022-02-18 13:02:59,203 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:02:59,386 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:02:59,576 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: POST | URL: /api/documents/ | 
2022-02-18 13:03:19,671 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-18 13:03:19,686 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-18 13:03:19,714 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/63cc876a-7225-4bc1-bbe1-adc528f361a3 | ARGS: {'body': ['0']}
2022-02-18 13:03:19,732 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: POST | URL: /api/documents/63cc876a-7225-4bc1-bbe1-adc528f361a3/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-18 13:03:28,873 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': '63cc876a-7225-4bc1-bbe1-adc528f361a3'}, {'id': '3372b16f-8906-442c-a1ae-16551b04ca51'}]}
2022-02-18 13:03:53,868 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/63cc876a-7225-4bc1-bbe1-adc528f361a3/download | ARGS: {'body': ['0']}
2022-02-18 13:03:53,914 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/63cc876a-7225-4bc1-bbe1-adc528f361a3/download | ARGS: {'body': ['0']}
2022-02-18 13:03:53,971 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/f3b07f8e-3efa-4622-a6f4-de5139541a4f/download | ARGS: {'body': ['0']}
2022-02-18 13:03:54,006 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-18 13:03:54,016 - USER_ID: 2f5d0d15-18b0-4789-8e80-b9ba4d75348f | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': '1f46fbc0-de6e-4651-a1bb-de32663a0e4c'}
2022-02-18 13:03:54,026 - USER_ID: 1f46fbc0-de6e-4651-a1bb-de32663a0e4c | METHOD: GET | URL: /api/documents/f3b07f8e-3efa-4622-a6f4-de5139541a4f/download | ARGS: {'body': ['0']}
2022-02-18 13:03:54,272 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:03:54,434 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:03:54,619 - USER_ID: 7593b451-a7fa-482e-a7dc-12fa55c51c8d | METHOD: POST | URL: /api/documents/ | 
2022-02-18 13:04:12,629 - USER_ID: 7593b451-a7fa-482e-a7dc-12fa55c51c8d | METHOD: POST | URL: /api/documents/ec812c71-d1d7-4d9f-b05b-784533489724/split | ARGS: {'pages': [1, 2, 5]}
2022-02-18 13:04:18,790 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:04:19,027 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:04:19,646 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:04:19,819 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
